customer_id,invoice_month,target
12346.0,2011-01-01,0.0
12347.0,2010-12-01,711.79
12347.0,2011-01-01,475.39
12347.0,2011-04-01,636.25
12347.0,2011-06-01,382.52
12347.0,2011-08-01,584.9100000000001
12347.0,2011-10-01,1294.32
12347.0,2011-12-01,224.82
12348.0,2010-12-01,892.8
12348.0,2011-01-01,227.44
12348.0,2011-04-01,367.0
12348.0,2011-09-01,310.0
12349.0,2011-11-01,1757.55
12350.0,2011-02-01,334.4
12352.0,2011-02-01,296.5
12352.0,2011-03-01,304.67999999999995
12352.0,2011-09-01,632.5
12352.0,2011-11-01,311.73
12353.0,2011-05-01,89.0
12354.0,2011-04-01,1079.4
12355.0,2011-05-01,459.4
12356.0,2011-01-01,2271.62
12356.0,2011-04-01,481.46000000000004
12356.0,2011-11-01,58.349999999999994
12357.0,2011-11-01,6207.67
12358.0,2011-07-01,484.86
12358.0,2011-12-01,683.2
12359.0,2011-01-01,547.5
12359.0,2011-02-01,1838.9099999999999
12359.0,2011-04-01,-35.8
12359.0,2011-06-01,1109.32
12359.0,2011-10-01,2876.85
12359.0,2011-12-01,-91.25
12360.0,2011-05-01,1083.58
12360.0,2011-08-01,534.7
12360.0,2011-10-01,1043.78
12361.0,2011-02-01,189.9
12362.0,2011-02-01,474.2
12362.0,2011-04-01,495.24
12362.0,2011-07-01,303.76
12362.0,2011-08-01,451.34999999999997
12362.0,2011-09-01,829.99
12362.0,2011-10-01,1641.91
12362.0,2011-11-01,429.09
12362.0,2011-12-01,529.04
12363.0,2011-04-01,299.1
12363.0,2011-08-01,252.9
12364.0,2011-08-01,623.92
12364.0,2011-09-01,79.8
12364.0,2011-10-01,299.06
12364.0,2011-12-01,310.32
12365.0,2011-02-01,320.69
12367.0,2011-12-01,168.9
12370.0,2010-12-01,1868.02
12370.0,2011-03-01,938.39
12370.0,2011-10-01,739.28
12371.0,2011-10-01,1887.96
12372.0,2011-02-01,399.22
12372.0,2011-05-01,515.7
12372.0,2011-09-01,383.12
12373.0,2011-02-01,364.6
12374.0,2011-11-01,742.9300000000001
12375.0,2011-09-01,230.3
12375.0,2011-11-01,227.20000000000002
12375.0,2011-12-01,-2.08
12377.0,2010-12-01,1001.52
12377.0,2011-01-01,626.6
12378.0,2011-08-01,4008.62
12379.0,2011-06-01,459.84
12379.0,2011-07-01,-1.95
12379.0,2011-09-01,392.40000000000003
12380.0,2011-06-01,607.5500000000001
12380.0,2011-09-01,626.01
12380.0,2011-10-01,446.61
12380.0,2011-11-01,1040.39
12381.0,2011-08-01,1227.39
12381.0,2011-10-01,10.5
12381.0,2011-11-01,419.06
12381.0,2011-12-01,147.01
12383.0,2010-12-01,600.72
12383.0,2011-01-01,639.91
12383.0,2011-03-01,357.07
12383.0,2011-04-01,142.16
12383.0,2011-06-01,99.45
12384.0,2011-08-01,292.69
12384.0,2011-09-01,-19.11
12384.0,2011-11-01,292.58
12386.0,2010-12-01,258.9
12386.0,2011-01-01,143.0
12388.0,2011-01-01,431.3
12388.0,2011-02-01,124.05000000000001
12388.0,2011-03-01,210.9
12388.0,2011-07-01,902.09
12388.0,2011-09-01,825.9200000000001
12388.0,2011-11-01,286.4
12390.0,2011-09-01,549.84
12391.0,2011-11-01,460.89
